Title,Author,Publisher,Year,Quantity,Donation
Learn Python the Hard Way - 3rd edition,Z.A.Shaw,Addison-Wesley,2014,1,N
"Mathematical Treks, From Surreal Numbers to Magic Circles",I.Peterson,MAA,2002,1,Y
